Boro Code,Boro Ct,CT,County,Geometry,LRS,Number of Records,Boro Code1,Boro Ct201,Boro Name,Cdeligibil,Ct2010,Ctlabel,Ntacode,Ntaname,Puma,Shape Area,Shape Leng
3,3035900,035900,Kings County,POLYGON,36.8,1,3,3035900,Brooklyn,E,035900,359,BK61,Crown Heights North,4006,1952759.90354,6551.10087099
3,3038700,038700,Kings County,POLYGON,30.7,1,3,3038700,Brooklyn,E,038700,387,BK35,Stuyvesant Heights,4003,2027988.28291,5708.76585612
3,3038800,038800,Kings County,POLYGON,20.9,1,3,3038800,Brooklyn,E,038800,388,BK25,Homecrest,4016,2130565.92483,5947.05673743
3,3038900,038900,Kings County,POLYGON,29.1,1,3,3038900,Brooklyn,E,038900,389,BK78,Bushwick South,4002,1753535.5178,6785.37956529
3,3039000,039000,Kings County,POLYGON,19.7,1,3,3039000,Brooklyn,E,039000,390,BK25,Homecrest,4016,1871911.31524,6671.62955227
3,3039100,039100,Kings County,POLYGON,32.2,1,3,3039100,Brooklyn,E,039100,391,BK78,Bushwick South,4002,1788881.47911,6244.83368581
3,3039200,039200,Kings County,POLYGON,20.7,1,3,3039200,Brooklyn,E,039200,392,BK25,Homecrest,4016,1875666.47628,5599.31155959
3,3036501,036501,Kings County,POLYGON,33.7,1,3,3036501,Brooklyn,E,036501,365.01,BK79,Ocean Hill,4007,1369714.59112,5483.36915563
3,3036502,036502,Kings County,POLYGON,35.7,1,3,3036502,Brooklyn,E,036502,365.02,BK79,Ocean Hill,4007,1252061.57682,6132.1960608
3,3036600,036600,Kings County,POLYGON,23.8,1,3,3036600,Brooklyn,E,036600,366,BK19,Brighton Beach,4018,2516458.35594,6655.72100166
3,3036700,036700,Kings County,POLYGON,31.3,1,3,3036700,Brooklyn,I,036700,367,BK79,Ocean Hill,4007,2024543.15913,5904.51034476
3,3036900,036900,Kings County,POLYGON,36.4,1,3,3036900,Brooklyn,E,036900,369,BK79,Ocean Hill,4007,2433755.72839,7215.25609611
3,3037000,037000,Kings County,POLYGON,18.9,1,3,3037000,Brooklyn,I,037000,370,BK19,Brighton Beach,4018,3617774.27324,7840.71641766
3,3037100,037100,Kings County,POLYGON,34.7,1,3,3037100,Brooklyn,E,037100,371,BK79,Ocean Hill,4007,2037041.36943,5779.49247497
3,3037300,037300,Kings County,POLYGON,34.3,1,3,3037300,Brooklyn,E,037300,373,BK79,Ocean Hill,4007,1838509.76147,6148.26945842
3,3037401,037401,Kings County,POLYGON,21.1,1,3,3037401,Brooklyn,E,037401,374.01,BK26,Gravesend,4018,2422862.80186,6927.20440862
3,3037402,037402,Kings County,POLYGON,21.8,1,3,3037402,Brooklyn,E,037402,374.02,BK26,Gravesend,4018,3270756.17459,7636.81271787
3,3037500,037500,Kings County,POLYGON,33.9,1,3,3037500,Brooklyn,E,037500,375,BK35,Stuyvesant Heights,4003,1708660.14851,5943.21016783
3,3037700,037700,Kings County,POLYGON,31,1,3,3037700,Brooklyn,E,037700,377,BK35,Stuyvesant Heights,4003,2047553.33432,5741.18143554
3,3037900,037900,Kings County,POLYGON,32.9,1,3,3037900,Brooklyn,E,037900,379,BK35,Stuyvesant Heights,4003,1978231.28462,5654.38069815
3,3038100,038100,Kings County,POLYGON,34.2,1,3,3038100,Brooklyn,E,038100,381,BK61,Crown Heights North,4006,2578249.41744,6811.26900213
3,3038200,038200,Kings County,POLYGON,34.8,1,3,3038200,Brooklyn,E,038200,382,BK26,Gravesend,4018,2526926.5639,6175.10431195
3,3038300,038300,Kings County,POLYGON,29.3,1,3,3038300,Brooklyn,I,038300,383,BK35,Stuyvesant Heights,4003,1878496.85627,5635.04699405
3,3038500,038500,Kings County,POLYGON,32,1,3,3038500,Brooklyn,E,038500,385,BK35,Stuyvesant Heights,4003,1877794.57229,5637.03661652
3,3038600,038600,Kings County,POLYGON,21,1,3,3038600,Brooklyn,E,038600,386,BK26,Gravesend,4018,2704025.38356,7289.70691351
3,3041100,041100,Kings County,POLYGON,31.6,1,3,3041100,Brooklyn,E,041100,411,BK78,Bushwick South,4002,1433607.26547,4966.66357454
3,3041200,041200,Kings County,POLYGON,25.1,1,3,3041200,Brooklyn,E,041200,412,BK29,Bensonhurst East,4017,1780125.24969,5466.78298849
3,3041300,041300,Kings County,POLYGON,31.4,1,3,3041300,Brooklyn,E,041300,413,BK78,Bushwick South,4002,1745182.8807,5284.90236853
3,3041401,041401,Kings County,POLYGON,22.1,1,3,3041401,Brooklyn,E,041401,414.01,BK25,Homecrest,4016,1454192.39647,5189.96885049
3,3041402,041402,Kings County,POLYGON,14.5,1,3,3041402,Brooklyn,E,041402,414.02,BK25,Homecrest,4016,1659482.2256,5695.76627583
3,3041500,041500,Kings County,POLYGON,36,1,3,3041500,Brooklyn,E,041500,415,BK78,Bushwick South,4002,1750287.79067,5326.72460181
3,3039300,039300,Kings County,POLYGON,33.1,1,3,3039300,Brooklyn,E,039300,393,BK78,Bushwick South,4002,2041139.82989,6706.90311119
3,3039400,039400,Kings County,POLYGON,22.3,1,3,3039400,Brooklyn,E,039400,394,BK25,Homecrest,4016,2067691.42497,7000.16509847
3,3039500,039500,Kings County,POLYGON,33.1,1,3,3039500,Brooklyn,E,039500,395,BK78,Bushwick South,4002,1718425.79652,5825.77114384
3,3039600,039600,Kings County,POLYGON,22.2,1,3,3039600,Brooklyn,E,039600,396,BK25,Homecrest,4016,1757819.54592,5569.96050668
3,3039700,039700,Kings County,POLYGON,30.9,1,3,3039700,Brooklyn,E,039700,397,BK78,Bushwick South,4002,1712820.27346,6560.68169372
3,3039800,039800,Kings County,POLYGON,22.4,1,3,3039800,Brooklyn,E,039800,398,BK26,Gravesend,4018,2184133.6613,7062.93682464
3,3039900,039900,Kings County,POLYGON,33.9,1,3,3039900,Brooklyn,E,039900,399,BK78,Bushwick South,4002,1627809.27547,6391.34873113
